# engine: eSpeak NG text-to-speech: 1.52.0  Data at: /usr/share/espeak-ng-data
locale	form	file	bytes	phonemes
en-US	USD123.45	en-US_USD123p45.mp3	134860	j,u:,Esd'i: w'Vnh'VndrI2d tw'Ent2i Tr'i: pOInt f'o@ f'aIv
en-US	SGD123.45	en-US_SGD123p45.mp3	136158	,EsdZ,i:d'i: w'Vnh'VndrI2d tw'Ent2i Tr'i: pOInt f'o@ f'aIv
en-US	$123.45	en-US_SYM123p45.mp3	127820	d'0l3 w'Vnh'VndrI2d tw'Ent2i Tr'i: pOInt f'o@ f'aIv
en-US	USD0.10	en-US_USD0p10.mp3	88700	j,u:,Esd'i: z'i@roU pOInt w'Vn z'i@roU
en-GB	USD123.45	en-GB_USD123p45.mp3	133618	j,u:,Esd'i: w'0nh'VndrI2d@n tw'Enti Tr'i: pOInt f'o@ f'aIv
en-GB	SGD123.45	en-GB_SGD123p45.mp3	135280	,EsdZ,i:d'i: w'0nh'VndrI2d@n tw'Enti Tr'i: pOInt f'o@ f'aIv
en-GB	$123.45	en-GB_SYM123p45.mp3	124008	d'0l3 w'0nh'VndrI2d@n tw'Enti Tr'i: pOInt f'o@ f'aIv
en-GB	USD0.10	en-GB_USD0p10.mp3	89560	j,u:,Esd'i: z'i@roU pOInt w'0n z'i@roU
en-GB	GBP123.45	en-GB_GBP123p45.mp3	135418	dZ,i:b,i:p'i: w'0nh'VndrI2d@n tw'Enti Tr'i: pOInt f'o@ f'aIv
id-ID	USD123,45	id-ID_USD123c45.mp3	128758	'usd s@R2'atus_| d'uap,uluht'iga _k,oma_ '@mpat l'ima
id-ID	SGD123,45	id-ID_SGD123c45.mp3	137650	,Esg,ed'e s@R2'atus_| d'uap,uluht'iga _k,oma_ '@mpat l'ima
id-ID	$123,45	id-ID_SYM123c45.mp3	131876	d'OlaR s@R2'atus_| d'uap,uluht'iga _k,oma_ '@mpat l'ima
id-ID	USD0,10	id-ID_USD0c10.mp3	76140	'usd n'ol _k,oma_ s'atu n'ol
id-ID	IDR123,45	id-ID_IDR123c45.mp3	129468	'idR s@R2'atus_| d'uap,uluht'iga _k,oma_ '@mpat l'ima
id-ID	IDR123	id-ID_IDR123.mp3	88172	'idR s@R2'atus_| d'uap,uluht'iga
id-ID	IDR123.45	id-ID_IDR123p45.mp3	142586	'idR s@R2'atus_| d'uap,uluht'iga t'iti? 'Empatp,uluhl'ima
yue-HK	USD123.45	yue-HK_USD123p45.mp3	99858	(en)j,u:1,E1sd'i:1(yue)_| j,a1t_| baa3k_| j,i6sa6p_| s,aa7m_| sei3_| 'ng5_|
yue-HK	SGD123.45	yue-HK_SGD123p45.mp3	102020	(en),E1sdZ,i:1d'i:1(yue)_| j,a1t_| baa3k_| j,i6sa6p_| s,aa7m_| sei3_| 'ng5_|
yue-HK	$123.45	yue-HK_SYM123p45.mp3	80246	j,a1t_| baa3k_| j,i6sa6p_| s,aa7m_| sei3_| 'ng5_|
yue-HK	USD0.10	yue-HK_USD0p10.mp3	59174	(en)V1sdz'i@1roU1(yue)_| ja1t_| l'ing4_| _!_|
yue-HK	HKD123.45	yue-HK_HKD123p45.mp3	107200	(en),eI1tSk,eI1d'i:1(yue)_| j,a1t_| baa3k_| j,i6sa6p_| s,aa7m_| sei3_| 'ng5_|
zh-CN	USD123.45	zh-CN_USD123p45.mp3	116344	(en)j,u:55,E55sd'i:55(cmn)_| j,i55pai21_|_| ,@r51s.i.35_|sa55n_| t'iE35n_|_| si[51_| w,u214_|
zh-CN	SGD123.45	zh-CN_SGD123p45.mp3	118016	(en),E55sdZ,i:55d'i:55(cmn)_| j,i55pai21_|_| ,@r51s.i.35_|sa55n_| t'iE35n_|_| si[51_| w,u214_|
zh-CN	$123.45	zh-CN_SYM123p45.mp3	96422	j,i55pai21_|_| ,@r51s.i.35_|sa55n_| t'iE35n_|_| si[51_| w,u214_|
zh-CN	USD0.10	zh-CN_USD0p10.mp3	64398	(en)V55sdz'i@55roU55(cmn)_| ji55l'i35N_!_|
zh-CN	CNY123.45	zh-CN_CNY123p45.mp3	118918	(en)s,i:55;,E55nw'aI55(cmn)_| j,i55pai21_|_| ,@r51s.i.35_|sa55n_| t'iE35n_|_| si[51_| w,u214_|
zh-TW	USD123.45	zh-TW_USD123p45.mp3	116344	(en)j,u:55,E55sd'i:55(cmn)_| j,i55pai21_|_| ,@r51s.i.35_|sa55n_| t'iE35n_|_| si[51_| w,u214_|
zh-TW	SGD123.45	zh-TW_SGD123p45.mp3	118016	(en),E55sdZ,i:55d'i:55(cmn)_| j,i55pai21_|_| ,@r51s.i.35_|sa55n_| t'iE35n_|_| si[51_| w,u214_|
zh-TW	$123.45	zh-TW_SYM123p45.mp3	96422	j,i55pai21_|_| ,@r51s.i.35_|sa55n_| t'iE35n_|_| si[51_| w,u214_|
zh-TW	USD0.10	zh-TW_USD0p10.mp3	64398	(en)V55sdz'i@55roU55(cmn)_| ji55l'i35N_!_|
