# engine: googletts.google-speech-apk_20260817.01_p0.966249458 (Pixel 9)
locale	form	file	bytes
en-US	USD123.45	en-US_USD123p45.mp3	181852
en-US	SGD123.45	en-US_SGD123p45.mp3	168484
en-US	$123.45	en-US_SYM123p45.mp3	142814
en-US	USD0.10	en-US_USD0p10.mp3	83414
en-GB	USD123.45	en-GB_USD123p45.mp3	181852
en-GB	SGD123.45	en-GB_SGD123p45.mp3	168484
en-GB	$123.45	en-GB_SYM123p45.mp3	168204
en-GB	USD0.10	en-GB_USD0p10.mp3	94936
en-GB	GBP123.45	en-GB_GBP123p45.mp3	185986
en-IN	USD123.45	en-IN_USD123p45.mp3	181852
en-IN	SGD123.45	en-IN_SGD123p45.mp3	193978
en-IN	$123.45	en-IN_SYM123p45.mp3	169348
en-IN	USD0.10	en-IN_USD0p10.mp3	90798
en-IN	INR123.45	en-IN_INR123p45.mp3	185708
en-IN	INR123	en-IN_INR123.mp3	132386
id-ID	USD123,45	id-ID_USD123c45.mp3	412220
id-ID	SGD123,45	id-ID_SGD123c45.mp3	184182
id-ID	$123,45	id-ID_SYM123c45.mp3	157134
id-ID	USD0,10	id-ID_USD0c10.mp3	140674
id-ID	IDR123,45	id-ID_IDR123c45.mp3	151232
id-ID	IDR123	id-ID_IDR123.mp3	109662
id-ID	IDR123.45	id-ID_IDR123p45.mp3	143656
yue-HK	USD123.45	yue-HK_USD123p45.mp3	245180
yue-HK	SGD123.45	yue-HK_SGD123p45.mp3	142604
yue-HK	$123.45	yue-HK_SYM123p45.mp3	125084
yue-HK	USD0.10	yue-HK_USD0p10.mp3	66284
yue-HK	HKD123.45	yue-HK_HKD123p45.mp3	133004
zh-CN	USD123.45	zh-CN_USD123p45.mp3	120280
zh-CN	SGD123.45	zh-CN_SGD123p45.mp3	143166
zh-CN	$123.45	zh-CN_SYM123p45.mp3	120280
zh-CN	USD0.10	zh-CN_USD0p10.mp3	67438
zh-CN	CNY123.45	zh-CN_CNY123p45.mp3	141492
zh-TW	USD123.45	zh-TW_USD123p45.mp3	137942
zh-TW	SGD123.45	zh-TW_SGD123p45.mp3	143854
zh-TW	$123.45	zh-TW_SYM123p45.mp3	137942
zh-TW	USD0.10	zh-TW_USD0p10.mp3	79066
zh-TW	TWD123.45	zh-TW_TWD123p45.mp3	171560
th-TH	USD123.45	th-TH_USD123p45.mp3	188300
th-TH	SGD123.45	th-TH_SGD123p45.mp3	197142
th-TH	$123.45	th-TH_SYM123p45.mp3	159694
th-TH	USD0.10	th-TH_USD0p10.mp3	71158
th-TH	THB123.45	th-TH_THB123p45.mp3	165142
ja-JP	USD123.45	ja-JP_USD123p45.mp3	161870
ja-JP	SGD123.45	ja-JP_SGD123p45.mp3	173418
ja-JP	$123.45	ja-JP_SYM123p45.mp3	134810
ja-JP	USD0.10	ja-JP_USD0p10.mp3	48990
ja-JP	JPY123.45	ja-JP_JPY123p45.mp3	145558
ja-JP	JPY123	ja-JP_JPY123.mp3	105466
ta-IN	USD123.45	ta-IN_USD123p45.mp3	366140
ta-IN	SGD123.45	ta-IN_SGD123p45.mp3	177424
ta-IN	$123.45	ta-IN_SYM123p45.mp3	162114
ta-IN	USD0.10	ta-IN_USD0p10.mp3	141812
ta-IN	INR123.45	ta-IN_INR123p45.mp3	173070
ta-IN	INR123	ta-IN_INR123.mp3	115076
de-DE	USD123,45	de-DE_USD123c45.mp3	446780
de-DE	SGD123,45	de-DE_SGD123c45.mp3	467900
de-DE	$123,45	de-DE_SYM123c45.mp3	187242
de-DE	USD0,10	de-DE_USD0c10.mp3	70092
de-DE	EUR123,45	de-DE_EUR123c45.mp3	190260
de-DE	EUR123.45	de-DE_EUR123p45.mp3	190260
fr-FR	USD123,45	fr-FR_USD123c45.mp3	337340
fr-FR	SGD123,45	fr-FR_SGD123c45.mp3	350780
fr-FR	$123,45	fr-FR_SYM123c45.mp3	139212
fr-FR	USD0,10	fr-FR_USD0c10.mp3	131886
fr-FR	EUR123,45	fr-FR_EUR123c45.mp3	142254
fr-FR	EUR123.45	fr-FR_EUR123p45.mp3	142254
es-ES	USD123,45	es-ES_USD123c45.mp3	240764
es-ES	SGD123,45	es-ES_SGD123c45.mp3	230508
es-ES	$123,45	es-ES_SYM123c45.mp3	188672
es-ES	USD0,10	es-ES_USD0c10.mp3	62744
es-ES	EUR123,45	es-ES_EUR123c45.mp3	184768
es-ES	EUR123.45	es-ES_EUR123p45.mp3	184768
it-IT	USD123,45	it-IT_USD123c45.mp3	209804
it-IT	SGD123,45	it-IT_SGD123c45.mp3	200240
it-IT	$123,45	it-IT_SYM123c45.mp3	178840
it-IT	USD0,10	it-IT_USD0c10.mp3	75736
it-IT	EUR123,45	it-IT_EUR123c45.mp3	170080
it-IT	EUR123.45	it-IT_EUR123p45.mp3	170080
nl-NL	USD123,45	nl-NL_USD123c45.mp3	191140
nl-NL	SGD123,45	nl-NL_SGD123c45.mp3	191894
nl-NL	$123,45	nl-NL_SYM123c45.mp3	153162
nl-NL	USD0,10	nl-NL_USD0c10.mp3	44778
nl-NL	EUR123,45	nl-NL_EUR123c45.mp3	153342
nl-NL	EUR123.45	nl-NL_EUR123p45.mp3	153342
