locale	form	file	bytes
en-US	USD123.45	en-US_USD123p45.mp3	165264
en-US	SGD123.45	en-US_SGD123p45.mp3	152944
en-US	$123.45	en-US_SYM123p45.mp3	128304
en-US	USD0.10	en-US_USD0p10.mp3	72864
en-GB	USD123.45	en-GB_USD123p45.mp3	186604
en-GB	SGD123.45	en-GB_SGD123p45.mp3	169664
en-GB	$123.45	en-GB_SYM123p45.mp3	145904
en-GB	USD0.10	en-GB_USD0p10.mp3	81664
en-GB	GBP123.45	en-GB_GBP123p45.mp3	159984
en-IN	USD123.45	en-IN_USD123p45.mp3	179344
en-IN	SGD123.45	en-IN_SGD123p45.mp3	166144
en-IN	$123.45	en-IN_SYM123p45.mp3	144584
en-IN	USD0.10	en-IN_USD0p10.mp3	77264
en-IN	INR123.45	en-IN_INR123p45.mp3	153824
en-IN	INR123	en-IN_INR123.mp3	108944
id-ID	USD123,45	id-ID_USD123c45.mp3	191664
id-ID	SGD123,45	id-ID_SGD123c45.mp3	172084
id-ID	$123,45	id-ID_SYM123c45.mp3	145024
id-ID	USD0,10	id-ID_USD0c10.mp3	127204
id-ID	IDR123,45	id-ID_IDR123c45.mp3	148544
id-ID	IDR123	id-ID_IDR123.mp3	101024
id-ID	IDR123.45	id-ID_IDR123p45.mp3	139524
yue-HK	USD123.45	yue-HK_USD123p45.mp3	113344
yue-HK	SGD123.45	yue-HK_SGD123p45.mp3	132704
yue-HK	$123.45	yue-HK_SYM123p45.mp3	115104
yue-HK	USD0.10	yue-HK_USD0p10.mp3	59444
yue-HK	HKD123.45	yue-HK_HKD123p45.mp3	115104
zh-CN	USD123.45	zh-CN_USD123p45.mp3	105424
zh-CN	SGD123.45	zh-CN_SGD123p45.mp3	125004
zh-CN	$123.45	zh-CN_SYM123p45.mp3	105424
zh-CN	USD0.10	zh-CN_USD0p10.mp3	63184
zh-CN	CNY123.45	zh-CN_CNY123p45.mp3	97504
zh-TW	USD123.45	zh-TW_USD123p45.mp3	101904
zh-TW	SGD123.45	zh-TW_SGD123p45.mp3	122144
zh-TW	$123.45	zh-TW_SYM123p45.mp3	101904
zh-TW	USD0.10	zh-TW_USD0p10.mp3	60544
zh-TW	TWD123.45	zh-TW_TWD123p45.mp3	109824
th-TH	USD123.45	th-TH_USD123p45.mp3	134768
th-TH	SGD123.45	th-TH_SGD123p45.mp3	160928
th-TH	$123.45	th-TH_SYM123p45.mp3	134768
th-TH	USD0.10	th-TH_USD0p10.mp3	42990
th-TH	THB123.45	th-TH_THB123p45.mp3	138256
de-DE	USD123,45	de-DE_USD123c45.mp3	198704
de-DE	SGD123,45	de-DE_SGD123c45.mp3	214544
de-DE	$123,45	de-DE_SYM123c45.mp3	184624
de-DE	USD0,10	de-DE_USD0c10.mp3	107184
de-DE	EUR123,45	de-DE_EUR123c45.mp3	186384
de-DE	EUR123.45	de-DE_EUR123p45.mp3	186384
fr-FR	USD123,45	fr-FR_USD123c45.mp3	157344
fr-FR	SGD123,45	fr-FR_SGD123c45.mp3	164384
fr-FR	$123,45	fr-FR_SYM123c45.mp3	124784
fr-FR	USD0,10	fr-FR_USD0c10.mp3	118844
fr-FR	EUR123,45	fr-FR_EUR123c45.mp3	129184
fr-FR	EUR123.45	fr-FR_EUR123p45.mp3	129184
es-ES	USD123,45	es-ES_USD123c45.mp3	230384
es-ES	SGD123,45	es-ES_SGD123c45.mp3	224224
es-ES	$123,45	es-ES_SYM123c45.mp3	186384
es-ES	USD0,10	es-ES_USD0c10.mp3	66704
es-ES	EUR123,45	es-ES_EUR123c45.mp3	184404
es-ES	EUR123.45	es-ES_EUR123p45.mp3	184404
it-IT	USD123,45	it-IT_USD123c45.mp3	179344
it-IT	SGD123,45	it-IT_SGD123c45.mp3	184624
it-IT	$123,45	it-IT_SYM123c45.mp3	149424
it-IT	USD0,10	it-IT_USD0c10.mp3	52624
it-IT	EUR123,45	it-IT_EUR123c45.mp3	156904
it-IT	EUR123.45	it-IT_EUR123p45.mp3	156904
nl-NL	USD123,45	nl-NL_USD123c45.mp3	166144
nl-NL	SGD123,45	nl-NL_SGD123c45.mp3	170104
nl-NL	$123,45	nl-NL_SYM123c45.mp3	135344
nl-NL	USD0,10	nl-NL_USD0c10.mp3	38104
nl-NL	EUR123,45	nl-NL_EUR123c45.mp3	136224
nl-NL	EUR123.45	nl-NL_EUR123p45.mp3	136224
ja-JP	USD123.45	ja-JP_USD123p45.mp3	110570
ja-JP	SGD123.45	ja-JP_SGD123p45.mp3	147194
ja-JP	$123.45	ja-JP_SYM123p45.mp3	110570
ja-JP	USD0.10	ja-JP_USD0p10.mp3	78306
ja-JP	JPY123.45	ja-JP_JPY123p45.mp3	121252
ja-JP	JPY123	ja-JP_JPY123.mp3	85936
ja-JP	¥123	ja-JP_JPYsym123.mp3	74382
ja-JP	円123	ja-JP_JPYword123.mp3	72856
ja-JP	JPY 123	ja-JP_JPYspace123.mp3	85936
ta-IN	USD123.45	ta-IN_USD123p45.mp3	117164
ta-IN	SGD123.45	ta-IN_SGD123p45.mp3	116524
ta-IN	$123.45	ta-IN_SYM123p45.mp3	105644
ta-IN	USD0.10	ta-IN_USD0p10.mp3	87724
ta-IN	INR123.45	ta-IN_INR123p45.mp3	114604
ta-IN	INR123	ta-IN_INR123.mp3	75564
ta-IN	₹123	ta-IN_INRsym123.mp3	68524
ta-IN	ரூபாய்123	ta-IN_INRword123.mp3	68524
ta-IN	INR 123	ta-IN_INRspace123.mp3	75564
