# engine: Microsoft OneCore (Windows)
locale	form	file	bytes
en-US	USD123.45	en-US_USD123p45.mp3	153166
en-US	SGD123.45	en-US_SGD123p45.mp3	112526
en-US	$123.45	en-US_SYM123p45.mp3	139886
en-US	USD0.10	en-US_USD0p10.mp3	53326
en-GB	USD123.45	en-GB_USD123p45.mp3	136686
en-GB	SGD123.45	en-GB_SGD123p45.mp3	98606
en-GB	$123.45	en-GB_SYM123p45.mp3	126126
en-GB	USD0.10	en-GB_USD0p10.mp3	52366
en-GB	GBP123.45	en-GB_GBP123p45.mp3	138606
en-IN	USD123.45	en-IN_USD123p45.mp3	168686
en-IN	SGD123.45	en-IN_SGD123p45.mp3	111534
en-IN	$123.45	en-IN_SYM123p45.mp3	150670
en-IN	USD0.10	en-IN_USD0p10.mp3	52334
en-IN	INR123.45	en-IN_INR123p45.mp3	154862
en-IN	INR123	en-IN_INR123.mp3	105134
id-ID	USD123,45	id-ID_USD123c45.mp3	132526
id-ID	SGD123,45	id-ID_SGD123c45.mp3	135246
id-ID	$123,45	id-ID_SYM123c45.mp3	117326
id-ID	USD0,10	id-ID_USD0c10.mp3	96366
id-ID	IDR123,45	id-ID_IDR123c45.mp3	102606
id-ID	IDR123	id-ID_IDR123.mp3	74926
id-ID	IDR123.45	id-ID_IDR123p45.mp3	102606
yue-HK	USD123.45	yue-HK_USD123p45.mp3	107986
yue-HK	SGD123.45	yue-HK_SGD123p45.mp3	99408
yue-HK	$123.45	yue-HK_SYM123p45.mp3	99358
yue-HK	USD0.10	yue-HK_USD0p10.mp3	73190
yue-HK	HKD123.45	yue-HK_HKD123p45.mp3	107826
zh-CN	USD123.45	zh-CN_USD123p45.mp3	97166
zh-CN	SGD123.45	zh-CN_SGD123p45.mp3	99246
zh-CN	$123.45	zh-CN_SYM123p45.mp3	97486
zh-CN	USD0.10	zh-CN_USD0p10.mp3	70926
zh-CN	CNY123.45	zh-CN_CNY123p45.mp3	101326
zh-TW	USD123.45	zh-TW_USD123p45.mp3	96404
zh-TW	SGD123.45	zh-TW_SGD123p45.mp3	97532
zh-TW	$123.45	zh-TW_SYM123p45.mp3	96404
zh-TW	USD0.10	zh-TW_USD0p10.mp3	67100
zh-TW	TWD123.45	zh-TW_TWD123p45.mp3	112504
th-TH	USD123.45	th-TH_USD123p45.mp3	100366
th-TH	SGD123.45	th-TH_SGD123p45.mp3	87246
th-TH	$123.45	th-TH_SYM123p45.mp3	96206
th-TH	USD0.10	th-TH_USD0p10.mp3	71886
th-TH	THB123.45	th-TH_THB123p45.mp3	86286
ja-JP	USD123.45	ja-JP_USD123p45.mp3	110126
ja-JP	SGD123.45	ja-JP_SGD123p45.mp3	117326
ja-JP	$123.45	ja-JP_SYM123p45.mp3	92686
ja-JP	USD0.10	ja-JP_USD0p10.mp3	90606
ja-JP	JPY123.45	ja-JP_JPY123p45.mp3	90126
ja-JP	JPY123	ja-JP_JPY123.mp3	68206
ja-JP	¥123	ja-JP_JPYsym123.mp3	68206
ja-JP	円123	ja-JP_JPYword123.mp3	72366
ja-JP	JPY 123	ja-JP_JPYspace123.mp3	68206
ta-IN	USD123.45	ta-IN_USD123p45.mp3	168366
ta-IN	SGD123.45	ta-IN_SGD123p45.mp3	130606
ta-IN	$123.45	ta-IN_SYM123p45.mp3	144846
ta-IN	USD0.10	ta-IN_USD0p10.mp3	55086
ta-IN	INR123.45	ta-IN_INR123p45.mp3	147406
ta-IN	INR123	ta-IN_INR123.mp3	102766
ta-IN	₹123	ta-IN_INRsym123.mp3	102766
ta-IN	ரூபாய்123	ta-IN_INRword123.mp3	91726
ta-IN	INR 123	ta-IN_INRspace123.mp3	102766
de-DE	USD123,45	de-DE_USD123c45.mp3	159036
de-DE	SGD123,45	de-DE_SGD123c45.mp3	154286
de-DE	$123,45	de-DE_SYM123c45.mp3	145864
de-DE	USD0,10	de-DE_USD0c10.mp3	80094
de-DE	EUR123,45	de-DE_EUR123c45.mp3	145864
de-DE	EUR123.45	de-DE_EUR123p45.mp3	145864
fr-FR	USD123,45	fr-FR_USD123c45.mp3	127566
fr-FR	SGD123,45	fr-FR_SGD123c45.mp3	111086
fr-FR	$123,45	fr-FR_SYM123c45.mp3	95086
fr-FR	USD0,10	fr-FR_USD0c10.mp3	69006
fr-FR	EUR123,45	fr-FR_EUR123c45.mp3	93966
fr-FR	EUR123.45	fr-FR_EUR123p45.mp3	102286
es-ES	USD123,45	es-ES_USD123c45.mp3	128206
es-ES	SGD123,45	es-ES_SGD123c45.mp3	116526
es-ES	$123,45	es-ES_SYM123c45.mp3	107726
es-ES	USD0,10	es-ES_USD0c10.mp3	85806
es-ES	EUR123,45	es-ES_EUR123c45.mp3	104046
es-ES	EUR123.45	es-ES_EUR123p45.mp3	106926
it-IT	USD123,45	it-IT_USD123c45.mp3	123566
it-IT	SGD123,45	it-IT_SGD123c45.mp3	122286
it-IT	$123,45	it-IT_SYM123c45.mp3	115566
it-IT	USD0,10	it-IT_USD0c10.mp3	88206
it-IT	EUR123,45	it-IT_EUR123c45.mp3	110126
it-IT	EUR123.45	it-IT_EUR123p45.mp3	110126
nl-NL	USD123,45	nl-NL_USD123c45.mp3	165006
nl-NL	SGD123,45	nl-NL_SGD123c45.mp3	116046
nl-NL	$123,45	nl-NL_SYM123c45.mp3	139726
nl-NL	USD0,10	nl-NL_USD0c10.mp3	98606
nl-NL	EUR123,45	nl-NL_EUR123c45.mp3	139726
nl-NL	EUR123.45	nl-NL_EUR123p45.mp3	135406
